Skill Name,Tree,Skill Level,Effect Type,Combat Behavior,Build Role,Power Value Estimate,Flat Stat Bonus,Scaling Mod,Duration,Cooldown,Depth Tier (1-6),PvP tested,Needs Tuning
Spell Weaving,Intellect,Capstone,"Passive Modifier, Proc Trigger, Resource Effect","Effect: Next ability empowered, Effect: Resource efficiency increased during hybrid chains, Trigger: Cast after weapon hit OR strike after casting","Burst Damage, Hybrid Support, Resource Economy",17,,"ARC + DEX, ARC 28 / DEX 22",2,10,6,No,No
Arcane Overload,Intellect,Capstone,"Conditional Buff, Damage Amplifier, Resource Effect","Effect: Buff weakens as mana drops, Effect: Increased casting speed, Effect: Increased spell damage scaling, Trigger: Mana ≥ 70%","Burst Damage, Resource Economy, Tempo Control",17,,"ARC + MR, ARC 30 / MR 22",,,6,No,No
Holy Sanctum,Zeal,Capstone,"Activated Ability, Defensive Effect, Utility","Effect: Immune to Status Conditions, Effect: Immune to debuffs, Effect: Remove enemy buffs, Trigger: Activate aura","Hybrid Support, Survivability, Tempo Control",16,,"FTH + CON, CON 28 / FTH 22",5,25,6,No,No
Radiant Conversion,Zeal,Capstone,"Defensive Effect, Passive Modifier, Resource Effect","Effect: Healing scales with damage output, Passive: Portion of damage dealt converts to healing","Resource Economy, Survivability, Sustain",16,,"FTH + DEX, FTH + STR, FTH 28 / 22",,,6,No,No
Divine Overflow,Zeal,Capstone,"Conditional Buff, Damage Amplifier, Proc Trigger, Resource Effect","Effect: Gain stacking damage bonus, Trigger: Heal ≥ 10% Max HP","Burst Damage, Hybrid Support, Sustain",16,,"FTH + CON, FTH 30 / CON 22",8,,6,No,No
Frenzy Pressure,Ferocity,Capstone,"Damage Amplifier, Proc Trigger, Resource Effect, Utility","Effect: Apply Fatigue, Effect: Fatigued enemy loses stamina regen, Effect: Fatigued enemy suffers increased guard break chance, Trigger: Land 3 consecutive hits OR heavy strike","Resource Economy, Sustain, Tempo Control",16,,"STR + DEF, STR 28 / DEF 22",6,16,6,No,No
Blood Surge,Ferocity,Capstone,"Conditional Buff, Mobility Effect, Proc Trigger, Resource Effect","Effect: Gain cooldown recovery boost, Effect: Gain surge of movement speed, Effect: Surge ends if enemy escapes combat for 2s, Trigger: Target HP below threshold","Burst Damage, Mobility, Tempo Control",17,,"STR + SPD, SPD 28 / STR 24",4,20,6,No,No
Predator Momentum,Ferocity,Capstone,"Conditional Buff, Damage Amplifier","Effect: Damage increases as target HP decreases, Trigger: Target HP below threshold","Burst Damage, Tempo Control",17,,"STR + SPD, STR 32 / SPD 20",,,6,No,No
Fortified Body,Valor,Tier 1,Passive Modifier,Passive: +2 CON,Survivability,2,+2 CON,,,,1,No,No
Iron Skin,Valor,Tier 1,Passive Modifier,Passive: +2 DEF,Survivability,2,+2 DEF,,,,1,No,No
Warded Flesh,Valor,Tier 1,Passive Modifier,Passive: +1 CON +1 MR,Survivability,2,+1 CON +1 MR,,,,1,No,No
Enduring Stamina,Valor,Tier 2,"Passive Modifier, Resource Effect","Passive: +2 CON +1 STR, +5% stamina pool","Resource Economy, Survivability",3,+2 CON +1 STR,,,,2,No,No
Defensive Stance,Valor,Tier 2,"Conditional Buff, Defensive Effect","Passive: +2 DEF +1 CON, Take 3% less damage while HP ≥ 70%",Survivability,3,+2 DEF +1 CON,,,,2,No,No
Arcane Resistance,Valor,Tier 2,"Defensive Effect, Passive Modifier","Passive: +1 DEF +1 MR +1 CON, +5% magic mitigation",Survivability,3,+1 DEF +1 MR +1 CON,,,,2,No,No
Battle Scars,Valor,Tier 3,"Conditional Buff, Passive Modifier","Passive: +2 CON +1 STR, Gain +1 DEF per 10% missing HP (max +5 DEF)","Burst Damage, Survivability",4,+2 CON +1 STR,,,,3,No,No
Unyielding Guard,Valor,Tier 3,"Passive Modifier, Resource Effect","Passive: +3 DEF +1 CON, Block/parry recovery speed +10%","Survivability, Tempo Control",4,+3 DEF +1 CON,,,,3,No,No
Vital Recovery,Valor,Tier 3,"Passive Modifier, Resource Effect","Passive: +2 CON +1 MR, Stamina regen +10% when HP ≥ 60%","Resource Economy, Sustain",4,+2 CON +1 MR,,,,3,No,No
Steadfast Guard,Valor,Major Node,"Conditional Buff, Defensive Effect","Passive: +6 CON +5 DEF, Take 10% less damage when HP ≥ 70%",Survivability,10,+6 CON +5 DEF,,,,4,No,No
Titan's Retaliation,Valor,Tier 4,"Conditional Buff, Damage Amplifier, Proc Trigger","Passive: +3 CON +3 STR, When damaged for ≥15% max HP gain +15% damage for 4s","Burst Damage, Survivability",6,+3 CON +3 STR,,4,8,4,No,No
Bastion of Will,Valor,Tier 4,"Defensive Effect, Passive Modifier","Passive: +3 DEF +2 MR +1 CON, Debuff durations -15%, stagger resistance +20%","Survivability, Tempo Control",6,+3 DEF +2 MR +1 CON,,,,4,No,No
Second Wind,Valor,Major Node,"Activated Ability, Defensive Effect, Resource Effect","Active: Restore 10% HP and 25% stamina (can only use when HP > 25%), +4 CON +3 STR","Resource Economy, Survivability",12,+4 CON +3 STR,,2,45,5,No,No
Immovable Bulwark,Valor,Tier 5,"Conditional Buff, Defensive Effect","Passive: +5 DEF +4 CON, Damage reduction +5% per second while stationary (max 15%, resets on movement)","Survivability, Tempo Control",11,+5 DEF +4 CON,,,,5,No,No
Aegis of Resolve,Valor,Tier 5,"Conditional Buff, Defensive Effect","Passive: +4 CON +3 DEF +2 MR, Healing effects on you grant +10% mitigation for 3s",Survivability,11,+4 CON +3 DEF +2 MR,,3,,5,No,No
Swift Reflexes,Instinct,Tier 1,Passive Modifier,Passive: +2 DEX,Mobility,2,+2 DEX,,,,1,No,No
Light Step,Instinct,Tier 1,Passive Modifier,Passive: +2 SPD,Mobility,2,+2 SPD,,,,1,No,No
Balanced Agility,Instinct,Tier 1,Passive Modifier,Passive: +1 DEX +1 SPD,Mobility,2,+1 DEX +1 SPD,,,,1,No,No
Momentum Flow,Instinct,Minor Node,"Mobility Effect, Passive Modifier","Passive: +3 SPD +2 DEX, Faster dodge recovery",Mobility,4,+3 SPD +2 DEX,,,,2,No,No
Evasive Training,Instinct,Tier 2,"Defensive Effect, Passive Modifier","Passive: +2 DEX +1 CON, +5% dodge i-frame duration","Mobility, Survivability",3,+2 DEX +1 CON,,,,2,No,No
Quick Recovery,Instinct,Tier 2,"Passive Modifier, Resource Effect","Passive: +2 SPD +1 DEX, Recovery speed +5% after dodge","Mobility, Tempo Control",3,+2 SPD +1 DEX,,,,2,No,No
Predatory Movement,Instinct,Tier 3,"Conditional Buff, Mobility Effect, Proc Trigger","Passive: +2 SPD +1 STR, +8% movement speed for 2s after attacking","Burst Damage, Mobility",4,+2 SPD +1 STR,,2,,3,No,No
Perfect Timing,Instinct,Tier 3,"Passive Modifier, Proc Trigger, Resource Effect","Passive: +3 DEX +1 SPD, Successful dodge reduces next attack cooldown by 10%","Mobility, Tempo Control",4,+3 DEX +1 SPD,,,,3,No,No
Fortified Reflexes,Instinct,Tier 3,"Passive Modifier, Resource Effect","Passive: +2 DEX +1 CON, Dodge stamina cost -10%","Mobility, Resource Economy",4,+2 DEX +1 CON,,,,3,No,No
Phantom Step,Instinct,Tier 4,"Conditional Buff, Mobility Effect, Proc Trigger","Passive: +4 SPD +3 DEX, Dodge distance +15%, movement speed +8% for 3s after dodge",Mobility,7,+4 SPD +3 DEX,,3,,4,No,No
Counterstrike Reflex,Instinct,Tier 4,"Conditional Buff, Damage Amplifier, Proc Trigger","Passive: +4 DEX +2 SPD, Attacks within 1.5s after dodge deal +12% damage","Burst Damage, Mobility",7,+4 DEX +2 SPD,,1.5,,4,No,No
Adaptive Defense,Instinct,Tier 4,"Conditional Buff, Defensive Effect, Proc Trigger","Passive: +3 DEX +2 CON +1 SPD, Each consecutive dodge in 5s grants +3% mitigation (stacks 3x)","Mobility, Survivability",7,+3 DEX +2 CON +1 SPD,,5,,4,No,No
Killer Reflex,Instinct,Major Node,"Conditional Buff, Damage Amplifier, Proc Trigger","Passive: +6 SPD +5 DEX, +15% crit chance for 3s after dodge","Burst Damage, Mobility",9,+6 SPD +5 DEX,,3,5,5,No,No
Phase Strike,Instinct,Tier 5,"Activated Ability, Damage Amplifier, Mobility Effect","Active: +5 DEX +4 SPD, Next attack after movement ability ignores 30% mitigation","Burst Damage, Mobility",11,+5 DEX +4 SPD,,,6,5,No,No
Flow State,Instinct,Tier 5,"Conditional Buff, Passive Modifier, Proc Trigger","Passive: +5 SPD +4 DEX, Consecutive dodges grant +5% attack speed (stacks 4x, decays after 3s)","Mobility, Tempo Control",11,+5 SPD +4 DEX,,3,,5,No,No
Weapon Training,Discipline,Tier 1,Passive Modifier,Passive: +2 STR,"Burst Damage, Tempo Control",2,+2 STR,,,,1,No,No
Precision Focus,Discipline,Tier 1,Passive Modifier,Passive: +2 DEX,"Burst Damage, Tempo Control",2,+2 DEX,,,,1,No,No
Balanced Technique,Discipline,Tier 1,Passive Modifier,Passive: +1 STR +1 DEX,"Burst Damage, Tempo Control",2,+1 STR +1 DEX,,,,1,No,No
Power Strike,Discipline,Tier 2,"Damage Amplifier, Passive Modifier","Passive: +2 STR +1 DEX, Heavy attacks +5% damage",Burst Damage,3,+2 STR +1 DEX,,,,2,No,No
Efficient Strikes,Discipline,Tier 2,"Passive Modifier, Resource Effect","Passive: +2 DEX +1 STR, Weapon attacks cost 5% less stamina","Resource Economy, Tempo Control",3,+2 DEX +1 STR,,,,2,No,No
Steadfast Blade,Discipline,Tier 2,"Passive Modifier, Damage Amplifier","Passive: +1 STR +1 DEX +1 CON, +5% weapon scaling","Burst Damage, Tempo Control",3,+1 STR +1 DEX +1 CON,,,,2,No,No
Relentless Assault,Discipline,Tier 3,"Conditional Buff, Damage Amplifier, Proc Trigger","Passive: +2 STR +1 SPD, Consecutive hits on same target grant +3% damage (stacks 3x)","Burst Damage, Tempo Control",4,+2 STR +1 SPD,,,,3,No,No
Defensive Mastery,Discipline,Tier 3,"Passive Modifier, Proc Trigger, Resource Effect","Passive: +2 DEX +1 DEF, Successful block/parry restores 5% stamina","Resource Economy, Survivability",4,+2 DEX +1 DEF,,,,3,No,No
Stamina Conservation,Discipline,Tier 3,"Passive Modifier, Resource Effect","Passive: +2 DEX +1 CON, Stamina regen +10% during combat","Resource Economy, Sustain",4,+2 DEX +1 CON,,,,3,No,No
Combat Efficiency,Discipline,Major Node,"Damage Amplifier, Passive Modifier, Resource Effect","Passive: +6 STR +4 DEX, 1.10x weapon damage, reduced stamina cost","Burst Damage, Resource Economy",8,+6 STR +4 DEX,1.10x Weapon damage,,,4,No,No
Weapon Virtuoso,Discipline,Tier 4,"Passive Modifier, Defensive Effect","Passive: +4 DEX +3 DEF, Weapon recovery speed +12%, parry window +0.1s","Survivability, Tempo Control",7,+4 DEX +3 DEF,,,,4,No,No
Berserker Rhythm,Discipline,Tier 4,"Conditional Buff, Passive Modifier, Proc Trigger","Passive: +4 STR +2 SPD, Attack speed +5% per consecutive hit (max 15%)","Burst Damage, Tempo Control",7,+4 STR +2 SPD,,,,4,No,No
Weapon Mastery,Discipline,Major Node,"Damage Amplifier, Passive Modifier","Passive: +6 STR +4 DEX, Increase weapon damage scaling","Burst Damage, Tempo Control",12,+6 STR +4 DEX,,,,5,No,No
Endless Momentum,Discipline,Tier 5,"Passive Modifier, Proc Trigger, Resource Effect","Passive: +5 DEX +4 CON, Consecutive hits reduce stamina cost by 3% per hit (max 15%)","Resource Economy, Sustain",11,+5 DEX +4 CON,,,,5,No,No
Perfect Execution,Discipline,Tier 5,"Conditional Buff, Damage Amplifier","Passive: +6 STR +4 DEX, Heavy attacks vs stunned/staggered enemies deal +25% damage","Burst Damage, Tempo Control",11,+6 STR +4 DEX,,,,5,No,No
Arcane Studies,Intellect,Tier 1,Passive Modifier,Passive: +2 ARC,"Burst Damage, Resource Economy",2,+2 ARC,,,,1,No,No
Mystic Wards,Intellect,Tier 1,Passive Modifier,Passive: +2 MR,"Resource Economy, Survivability",2,+2 MR,,,,1,No,No
Balanced Attunement,Intellect,Tier 1,Passive Modifier,Passive: +1 ARC +1 MR,"Burst Damage, Resource Economy",2,+1 ARC +1 MR,,,,1,No,No
Spell Power,Intellect,Tier 2,"Damage Amplifier, Passive Modifier","Passive: +2 ARC +1 MR, +5% spell damage",Burst Damage,3,+2 ARC +1 MR,,,,2,No,No
Mana Efficiency,Intellect,Tier 2,"Passive Modifier, Resource Effect","Passive: +2 MR +1 ARC, Spell costs -5% mana",Resource Economy,3,+2 MR +1 ARC,,,,2,No,No
Battle Caster,Intellect,Tier 2,"Passive Modifier, Tempo Control","Passive: +1 ARC +1 DEX +1 MR, Cast speed +5%","Burst Damage, Tempo Control",3,+1 ARC +1 DEX +1 MR,,,,2,No,No
Arcane Burst,Intellect,Tier 3,"Conditional Buff, Damage Amplifier","Passive: +2 ARC +1 SPD, Spells cast while moving deal +8% damage","Burst Damage, Mobility",4,+2 ARC +1 SPD,,,,3,No,No
Spell Resilience,Intellect,Tier 3,"Passive Modifier, Proc Trigger, Resource Effect","Passive: +2 MR +1 CON, Taking damage restores 3% max mana","Resource Economy, Survivability",4,+2 MR +1 CON,,,4,3,No,No
Focused Casting,Intellect,Tier 3,"Conditional Buff, Damage Amplifier, Proc Trigger","Passive: +3 ARC +1 DEX, Consecutive spells on same target increase damage by 4% (stacks 3x)","Burst Damage, Tempo Control",4,+3 ARC +1 DEX,,,,3,No,No
Arcane Feedback,Intellect,Major Node,"Passive Modifier, Proc Trigger, Resource Effect","Passive: +7 ARC +5 MR, Regain mana on spell damage",Resource Economy,9,+7 ARC +5 MR,,,1,4,No,No
Spell Acceleration,Intellect,Tier 4,"Passive Modifier, Tempo Control","Passive: +4 ARC +3 SPD, Cast speed +12%, spell recovery -10%","Burst Damage, Tempo Control",7,+4 ARC +3 SPD,,,,4,No,No
Arcane Fortification,Intellect,Tier 4,"Defensive Effect, Passive Modifier, Resource Effect","Passive: +3 MR +3 CON +2 ARC, Mana shield: 15% of mana pool acts as damage buffer","Resource Economy, Survivability",7,+3 MR +3 CON +2 ARC,,,,4,No,No
Spell Echo,Intellect,Major Node,"Damage Amplifier, Proc Trigger","Passive: 15% chance to recast spell with reduced effectiveness","Burst Damage, Hybrid Support",11,,,,8,5,No,No
Arcane Supremacy,Intellect,Tier 5,"Conditional Buff, Damage Amplifier","Passive: +6 ARC +4 MR, Spell damage +15% when mana ≥ 70%","Burst Damage, Resource Economy",11,+6 ARC +4 MR,,,,5,No,No
Spellblade Synergy,Intellect,Tier 5,"Activated Ability, Damage Amplifier, Hybrid Support","Active: +5 ARC +4 DEX, Weapon hit after spell empowers next spell by 20%, spell after weapon empowers next weapon by 20%","Burst Damage, Hybrid Support",11,+5 ARC +4 DEX,,10,,5,No,No
Divine Favor,Zeal,Tier 1,Passive Modifier,Passive: +2 FTH,"Burst Damage, Sustain",2,+2 FTH,,,,1,No,No
Sacred Endurance,Zeal,Tier 1,Passive Modifier,Passive: +2 CON,"Survivability, Sustain",2,+2 CON,,,,1,No,No
Holy Balance,Zeal,Tier 1,Passive Modifier,Passive: +1 FTH +1 CON,"Survivability, Sustain",2,+1 FTH +1 CON,,,,1,No,No
Radiant Power,Zeal,Tier 2,"Damage Amplifier, Passive Modifier","Passive: +2 FTH +1 STR, Divine damage +5%",Burst Damage,3,+2 FTH +1 STR,,,,2,No,No
Sacred Vitality,Zeal,Tier 2,"Passive Modifier, Resource Effect","Passive: +2 CON +1 FTH, Healing received +8%","Survivability, Sustain",3,+2 CON +1 FTH,,,,2,No,No
Faithful Defense,Zeal,Tier 2,"Defensive Effect, Passive Modifier","Passive: +1 FTH +1 MR +1 CON, Debuff resistance +5%",Survivability,3,+1 FTH +1 MR +1 CON,,,,2,No,No
Holy Fury,Zeal,Tier 3,"Damage Amplifier, Passive Modifier, Resource Effect","Passive: +2 FTH +1 STR, Dealing damage heals 2% of damage dealt","Burst Damage, Sustain",4,+2 FTH +1 STR,,,,3,No,No
Blessed Resilience,Zeal,Tier 3,"Conditional Buff, Defensive Effect, Proc Trigger","Passive: +2 CON +1 MR, Heal effects grant +5% mitigation for 3s","Survivability, Sustain",4,+2 CON +1 MR,,3,,3,No,No
Divine Fervor,Zeal,Tier 3,"Conditional Buff, Damage Amplifier, Proc Trigger","Passive: +3 FTH +1 DEX, Healing yourself grants +8% damage for 4s","Burst Damage, Sustain",4,+3 FTH +1 DEX,,4,,3,No,No
Sacred Retaliation,Zeal,Major Node,"Defensive Effect, Passive Modifier, Proc Trigger","Passive: Reflect 10% post-mitigation damage","Survivability, Sustain",10,,,,5,4,No,No
Righteous Assault,Zeal,Tier 4,"Conditional Buff, Damage Amplifier","Passive: +4 FTH +3 STR, Damage +10% when HP > 80%",Burst Damage,7,+4 FTH +3 STR,,,,4,No,No
Sanctified Body,Zeal,Tier 4,"Passive Modifier, Resource Effect","Passive: +3 CON +3 FTH +2 MR, Overheal persists as temporary HP up to 15% max HP","Survivability, Sustain",7,+3 CON +3 FTH +2 MR,,,,4,No,No
Divine Resilience,Zeal,Major Node,"Defensive Effect, Passive Modifier","Passive: +6 FTH +5 CON, Reduced debuff duration","Survivability, Sustain",8,+6 FTH +5 CON,,,,5,No,No
Radiant Surge,Zeal,Tier 5,"Activated Ability, Damage Amplifier, Resource Effect","Active: +5 FTH +4 CON, Heal 15% max HP and gain +20% damage for 6s","Burst Damage, Sustain",11,+5 FTH +4 CON,,6,30,5,No,No
Holy Conviction,Zeal,Tier 5,"Conditional Buff, Damage Amplifier, Passive Modifier","Passive: +5 FTH +3 STR +2 DEX, While HP ≥ 70% gain +12% healing power and +10% damage","Burst Damage, Sustain",11,+5 FTH +3 STR +2 DEX,,,,5,No,No
Raw Power,Ferocity,Tier 1,Passive Modifier,Passive: +2 STR,Burst Damage,2,+2 STR,,,,1,No,No
Aggressive Pursuit,Ferocity,Tier 1,Passive Modifier,Passive: +2 SPD,"Burst Damage, Mobility",2,+2 SPD,,,,1,No,No
Relentless Drive,Ferocity,Tier 1,Passive Modifier,Passive: +1 STR +1 SPD,"Burst Damage, Mobility",2,+1 STR +1 SPD,,,,1,No,No
Savage Strength,Ferocity,Tier 2,"Conditional Buff, Damage Amplifier","Passive: +2 STR +1 CON, +5% damage vs targets below 50% HP",Burst Damage,3,+2 STR +1 CON,,,,2,No,No
Hunter's Speed,Ferocity,Tier 2,"Conditional Buff, Mobility Effect","Passive: +2 SPD +1 STR, +8% movement speed toward wounded enemies","Burst Damage, Mobility",3,+2 SPD +1 STR,,,,2,No,No
Brutal Momentum,Ferocity,Tier 2,"Conditional Buff, Damage Amplifier, Proc Trigger","Passive: +1 STR +1 SPD +1 DEF, Consecutive attacks increase damage by 3% (stacks 3x)","Burst Damage, Tempo Control",3,+1 STR +1 SPD +1 DEF,,,,2,No,No
Blood Frenzy,Ferocity,Tier 3,"Conditional Buff, Passive Modifier, Proc Trigger","Passive: +2 STR +1 SPD, Dealing damage grants +2% attack speed for 4s (stacks 5x)","Burst Damage, Tempo Control",4,+2 STR +1 SPD,,4,,3,No,No
Predatory Instinct,Ferocity,Tier 3,"Conditional Buff, Resource Effect","Passive: +2 SPD +1 DEX, Stamina cost -15% when target HP < 40%","Mobility, Resource Economy",4,+2 SPD +1 DEX,,,,3,No,No
Unrelenting Force,Ferocity,Tier 3,"Passive Modifier, Utility","Passive: +3 STR +1 DEF, Heavy attacks stagger enemies 20% more effectively","Burst Damage, Tempo Control",4,+3 STR +1 DEF,,,,3,No,No
Execute Mastery,Ferocity,Tier 4,"Conditional Buff, Damage Amplifier","Passive: +4 STR +3 SPD, Damage +15% vs enemies below 30% HP",Burst Damage,7,+4 STR +3 SPD,,,,4,No,No
Rampage,Ferocity,Tier 4,"Conditional Buff, Mobility Effect, Proc Trigger","Passive: +4 SPD +2 STR +1 CON, Killing blow grants +25% movement speed and +15% attack speed for 5s","Burst Damage, Mobility",7,+4 SPD +2 STR +1 CON,,5,,4,No,No
Titan's Fury,Ferocity,Tier 4,"Conditional Buff, Damage Amplifier, Proc Trigger","Passive: +3 STR +3 DEF +1 CON, Taking damage increases damage dealt by 5% (stacks 3x, lasts 6s)","Burst Damage, Survivability",7,+3 STR +3 DEF +1 CON,,6,,4,No,No
Primal Instinct,Ferocity,Major Node,"Conditional Buff, Mobility Effect, Resource Effect","Passive: Ignore stamina penalties when stamina < 20%","Mobility, Resource Economy",12,,,5,20,5,No,No
Brutal Finish,Ferocity,Major Node,"Conditional Buff, Damage Amplifier","Passive: +7 STR +5 SPD, 1.12x damage when enemy HP < 30%",Burst Damage,9,+7 STR +5 SPD,1.12x Damage,,,5,No,No
Berserker's Rage,Ferocity,Tier 5,"Activated Ability, Conditional Buff, Damage Amplifier","Active: +6 STR +4 SPD, Gain +30% damage and +20% attack speed for 8s, take +15% damage during duration","Burst Damage, Tempo Control",11,+6 STR +4 SPD,,8,45,5,No,No
