Skill Name,Tree,Skill Level,Effect Type,Combat Behavior,Build Role,Power Value Estimate,Flat Stat Bonus,Scaling Mod,Duration,Cooldown,Depth Tier (1-6),PvP tested,Needs Tuning,Balance Notes
Spell Weaving,Intellect,Capstone,"Passive Modifier, Proc Trigger, Resource Effect","Effect: Next ability empowered by 20%, Effect: Resource efficiency +15% during hybrid chains, Trigger: Cast after weapon hit OR strike after casting, NOTE: 8s internal cooldown between triggers","Burst Damage, Hybrid Support, Resource Economy",17,,"ARC + DEX, ARC 28 / DEX 22",2,8,6,No,Balanced,Added ICD and specific empowerment value
Arcane Overload,Intellect,Capstone,"Conditional Buff, Damage Amplifier, Resource Effect","Effect: Casting speed +20% at 70%+ mana (scales down to +5% at 40% mana), Effect: Spell damage scaling +15% at 70%+ mana (scales down to +0% at 40% mana), Trigger: Mana ≥ 40%, NOTE: Buff strength scales linearly with mana percentage","Burst Damage, Resource Economy, Tempo Control",17,,"ARC + MR, ARC 30 / MR 22",,,6,No,Balanced,Added scaling curve and minimum mana threshold
Holy Sanctum,Zeal,Capstone,"Activated Ability, Defensive Effect, Utility","Effect: Immune to Status Conditions, Effect: Immune to debuffs, Effect: Remove enemy buffs within 6m, Trigger: Activate aura, NOTE: Cannot be used below 30% HP","Hybrid Support, Survivability, Tempo Control",16,,"FTH + CON, CON 28 / FTH 22",4,25,6,No,Balanced,Reduced duration (5s→4s) and added HP threshold restriction
Radiant Conversion,Zeal,Capstone,"Defensive Effect, Passive Modifier, Resource Effect","Effect: Healing scales with damage output (+25% healing power), Passive: 8% of damage dealt converts to healing (capped at 50 HP/s), NOTE: Damage-to-heal conversion reduced by 50% if combined with other sustain capstones","Resource Economy, Survivability, Sustain",16,,"FTH + DEX, FTH + STR, FTH 28 / 22",,,6,No,Balanced,CRITICAL FIX: Added hard cap (50 HP/s) and cross-capstone penalty to prevent effective health stacking
Divine Overflow,Zeal,Capstone,"Conditional Buff, Damage Amplifier, Proc Trigger, Resource Effect","Effect: Gain +3% damage per stack (max 5 stacks = 15%), Trigger: Heal ≥ 10% Max HP, NOTE: Stacks decay 1 per 2s; all stacks lost if out of combat for 5s","Burst Damage, Hybrid Support, Sustain",16,,"FTH + CON, FTH 30 / CON 22",10,,6,No,Balanced,Added max stacks and out-of-combat decay to prevent healing loops
Frenzy Pressure,Ferocity,Capstone,"Damage Amplifier, Proc Trigger, Resource Effect, Utility","Effect: Apply Fatigue (40% stamina regen reduction, +15% guard break chance), Effect: Fatigue does not prevent stamina use or dodge, Trigger: Land 3 consecutive hits OR heavy strike, NOTE: 12s internal cooldown","Resource Economy, Sustain, Tempo Control",16,,"STR + DEF, STR 28 / DEF 22",5,12,6,No,Balanced,"CRITICAL FIX: Added ICD, reduced duration (6s→5s), specified that Fatigue doesn't fully disable stamina function"
Blood Surge,Ferocity,Capstone,"Conditional Buff, Mobility Effect, Proc Trigger, Resource Effect","Effect: Cooldown recovery +40%, Effect: Movement speed +30%, Effect: Surge ends if enemy escapes combat for 2s OR if target HP rises above threshold, Trigger: Target HP below 35%, NOTE: All effects decay over 3s when out of combat","Burst Damage, Mobility, Tempo Control",17,,"STR + SPD, SPD 28 / STR 24",3,20,6,No,Balanced,Reduced duration (4s→3s) and added out-of-combat decay to prevent tempo snowball
Predator Momentum,Ferocity,Capstone,"Conditional Buff, Damage Amplifier","Effect: Damage increases by 1% per 5% target missing HP (max +12% at 40% HP, +20% at 0% HP), Trigger: Target HP below 95%, NOTE: Damage bonus from all execute effects capped at +35%","Burst Damage, Tempo Control",17,,"STR + SPD, STR 32 / SPD 20",,,6,No,Balanced,CRITICAL FIX: Added specific scaling curve and global execute damage cap
Fortified Body,Valor,Tier 1,Passive Modifier,Passive: +2 CON,Survivability,2,+2 CON,,,,1,No,Balanced,No change needed
Iron Skin,Valor,Tier 1,Passive Modifier,Passive: +2 DEF,Survivability,2,+2 DEF,,,,1,No,Balanced,No change needed
Warded Flesh,Valor,Tier 1,Passive Modifier,Passive: +1 CON +1 MR,Survivability,2,+1 CON +1 MR,,,,1,No,Balanced,No change needed
Enduring Stamina,Valor,Tier 2,"Passive Modifier, Resource Effect","Passive: +2 CON +1 STR, +5% stamina pool (subject to diminishing returns above 120% base pool)","Resource Economy, Survivability",3,+2 CON +1 STR,,,,2,No,Balanced,Added diminishing returns note
Defensive Stance,Valor,Tier 2,"Conditional Buff, Defensive Effect","Passive: +2 DEF +1 CON, Take 3% less damage while HP ≥ 70%",Survivability,3,+2 DEF +1 CON,,,,2,No,Balanced,No change needed
Arcane Resistance,Valor,Tier 2,"Defensive Effect, Passive Modifier","Passive: +1 DEF +1 MR +1 CON, +5% magic mitigation (diminishing returns apply)","Survivability",3,+1 DEF +1 MR +1 CON,,,,2,No,Balanced,Added diminishing returns note
Battle Scars,Valor,Tier 3,"Conditional Buff, Passive Modifier","Passive: +2 CON +1 STR, Gain +1 DEF per 10% missing HP (max +5 DEF at 50% HP)","Burst Damage, Survivability",4,+2 CON +1 STR,,,,3,No,Balanced,Specified max stacks occur at 50% HP (not 0%)
Unyielding Guard,Valor,Tier 3,"Passive Modifier, Resource Effect","Passive: +3 DEF +1 CON, Block/parry recovery speed +10%","Survivability, Tempo Control",4,+3 DEF +1 CON,,,,3,No,Balanced,No change needed
Vital Recovery,Valor,Tier 3,"Passive Modifier, Resource Effect","Passive: +2 CON +1 MR, Stamina regen +10% when HP ≥ 60%","Resource Economy, Sustain",4,+2 CON +1 MR,,,,3,No,Balanced,No change needed
Steadfast Guard,Valor,Major Node,"Conditional Buff, Defensive Effect","Passive: +6 CON +5 DEF, Take 10% less damage when HP ≥ 70% (diminishing returns with other conditional mitigation)","Survivability",10,+6 CON +5 DEF,,,,4,No,Balanced,Added diminishing returns note
Titan's Retaliation,Valor,Tier 4,"Conditional Buff, Damage Amplifier, Proc Trigger","Passive: +3 CON +3 STR, When damaged for ≥15% max HP gain +15% damage for 4s (8s internal cooldown)","Burst Damage, Survivability",6,+3 CON +3 STR,,4,8,4,No,Balanced,Made ICD explicit
Bastion of Will,Valor,Tier 4,"Defensive Effect, Passive Modifier","Passive: +3 DEF +2 MR +1 CON, Debuff durations -15%, stagger resistance +20%","Survivability, Tempo Control",6,+3 DEF +2 MR +1 CON,,,,4,No,Balanced,No change needed
Second Wind,Valor,Major Node,"Activated Ability, Defensive Effect, Resource Effect","Active: Restore 10% HP and 25% stamina (can only use when HP > 25% and < 75%), +4 CON +3 STR, NOTE: Once per match","Resource Economy, Survivability",12,+4 CON +3 STR,,2,Once,5,No,Balanced,Added upper HP limit (75%) to prevent abuse at high HP
Immovable Bulwark,Valor,Tier 5,"Conditional Buff, Defensive Effect","Passive: +5 DEF +4 CON, Damage reduction +5% per second while stationary (max 15% at 3s, resets on movement), NOTE: Stacks additively with other mitigation (total cap 60%)","Survivability, Tempo Control",11,+5 DEF +4 CON,,,,5,No,Balanced,Added mitigation stacking note
Aegis of Resolve,Valor,Tier 5,"Conditional Buff, Defensive Effect","Passive: +4 CON +3 DEF +2 MR, Healing effects on you grant +10% mitigation for 3s (does not stack with itself)","Survivability",11,+4 CON +3 DEF +2 MR,,3,,5,No,Balanced,Added no-stacking clause
Swift Reflexes,Instinct,Tier 1,Passive Modifier,Passive: +2 DEX,Mobility,2,+2 DEX,,,,1,No,Balanced,No change needed
Light Step,Instinct,Tier 1,Passive Modifier,Passive: +2 SPD,Mobility,2,+2 SPD,,,,1,No,Balanced,No change needed
Balanced Agility,Instinct,Tier 1,Passive Modifier,Passive: +1 DEX +1 SPD,Mobility,2,+1 DEX +1 SPD,,,,1,No,Balanced,No change needed
Momentum Flow,Instinct,Minor Node,"Mobility Effect, Passive Modifier","Passive: +3 SPD +2 DEX, Dodge recovery -15%",Mobility,4,+3 SPD +2 DEX,,,,2,No,Balanced,Specified dodge recovery reduction
Evasive Training,Instinct,Tier 2,"Defensive Effect, Passive Modifier","Passive: +2 DEX +1 CON, +5% dodge i-frame duration","Mobility, Survivability",3,+2 DEX +1 CON,,,,2,No,Balanced,No change needed
Quick Recovery,Instinct,Tier 2,"Passive Modifier, Resource Effect","Passive: +2 SPD +1 DEX, Recovery speed +5% after dodge","Mobility, Tempo Control",3,+2 SPD +1 DEX,,,,2,No,Balanced,No change needed
Predatory Movement,Instinct,Tier 3,"Conditional Buff, Mobility Effect, Proc Trigger","Passive: +2 SPD +1 STR, +8% movement speed for 2s after attacking (decays out of combat)","Burst Damage, Mobility",4,+2 SPD +1 STR,,2,,3,No,Balanced,Added out-of-combat decay
Perfect Timing,Instinct,Tier 3,"Passive Modifier, Proc Trigger, Resource Effect","Passive: +3 DEX +1 SPD, Successful dodge reduces next attack cooldown by 10%","Mobility, Tempo Control",4,+3 DEX +1 SPD,,,,3,No,Balanced,No change needed
Fortified Reflexes,Instinct,Tier 3,"Passive Modifier, Resource Effect","Passive: +2 DEX +1 CON, Dodge stamina cost -10%","Mobility, Resource Economy",4,+2 DEX +1 CON,,,,3,No,Balanced,No change needed
Phantom Step,Instinct,Tier 4,"Conditional Buff, Mobility Effect, Proc Trigger","Passive: +4 SPD +3 DEX, Dodge distance +15%, movement speed +8% for 3s after dodge (decays out of combat)","Mobility",7,+4 SPD +3 DEX,,3,,4,No,Balanced,Added out-of-combat decay
Counterstrike Reflex,Instinct,Tier 4,"Conditional Buff, Damage Amplifier, Proc Trigger","Passive: +4 DEX +2 SPD, Attacks within 1.5s after dodge deal +12% damage","Burst Damage, Mobility",7,+4 DEX +2 SPD,,1.5,,4,No,Balanced,No change needed
Adaptive Defense,Instinct,Tier 4,"Conditional Buff, Defensive Effect, Proc Trigger","Passive: +3 DEX +2 CON +1 SPD, Each consecutive dodge in 5s grants +3% mitigation (stacks 3x = 9% max, resets out of combat)","Mobility, Survivability",7,+3 DEX +2 CON +1 SPD,,5,,4,No,Balanced,Added out-of-combat reset
Killer Reflex,Instinct,Major Node,"Conditional Buff, Damage Amplifier, Proc Trigger","Passive: +6 SPD +5 DEX, +15% crit chance for 3s after dodge (5s internal cooldown)","Burst Damage, Mobility",9,+6 SPD +5 DEX,,3,5,5,No,Balanced,Made ICD explicit
Phase Strike,Instinct,Tier 5,"Activated Ability, Damage Amplifier, Mobility Effect","Active: +5 DEX +4 SPD, Next attack after movement ability ignores 30% mitigation (6s cooldown)","Burst Damage, Mobility",11,+5 DEX +4 SPD,,,6,5,No,Balanced,Made cooldown explicit
Flow State,Instinct,Tier 5,"Conditional Buff, Passive Modifier, Proc Trigger","Passive: +5 SPD +4 DEX, Consecutive dodges grant +5% attack speed (stacks 4x = 20% max, each stack decays after 3s, all lost if out of combat 5s)","Mobility, Tempo Control",11,+5 SPD +4 DEX,,3,,5,No,Balanced,Added out-of-combat full decay
Weapon Training,Discipline,Tier 1,Passive Modifier,Passive: +2 STR,"Burst Damage, Tempo Control",2,+2 STR,,,,1,No,Balanced,No change needed
Precision Focus,Discipline,Tier 1,Passive Modifier,Passive: +2 DEX,"Burst Damage, Tempo Control",2,+2 DEX,,,,1,No,Balanced,No change needed
Balanced Technique,Discipline,Tier 1,Passive Modifier,Passive: +1 STR +1 DEX,"Burst Damage, Tempo Control",2,+1 STR +1 DEX,,,,1,No,Balanced,No change needed
Power Strike,Discipline,Tier 2,"Damage Amplifier, Passive Modifier","Passive: +2 STR +1 DEX, Heavy attacks +5% damage",Burst Damage,3,+2 STR +1 DEX,,,,2,No,Balanced,No change needed
Efficient Strikes,Discipline,Tier 2,"Passive Modifier, Resource Effect","Passive: +2 DEX +1 STR, Weapon attacks cost 5% less stamina","Resource Economy, Tempo Control",3,+2 DEX +1 STR,,,,2,No,Balanced,No change needed
Steadfast Blade,Discipline,Tier 2,"Passive Modifier, Damage Amplifier","Passive: +1 STR +1 DEX +1 CON, +5% weapon scaling","Burst Damage, Tempo Control",3,+1 STR +1 DEX +1 CON,,,,2,No,Balanced,No change needed
Relentless Assault,Discipline,Tier 3,"Conditional Buff, Damage Amplifier, Proc Trigger","Passive: +2 STR +1 SPD, Consecutive hits on same target grant +3% damage (stacks 3x = 9% max, resets on target switch)","Burst Damage, Tempo Control",4,+2 STR +1 SPD,,,,3,No,Balanced,Specified reset condition
Defensive Mastery,Discipline,Tier 3,"Passive Modifier, Proc Trigger, Resource Effect","Passive: +2 DEX +1 DEF, Successful block/parry restores 5% stamina (3s internal cooldown)","Resource Economy, Survivability",4,+2 DEX +1 DEF,,,3,3,No,Balanced,Added ICD
Stamina Conservation,Discipline,Tier 3,"Passive Modifier, Resource Effect","Passive: +2 DEX +1 CON, Stamina regen +10% during combat","Resource Economy, Sustain",4,+2 DEX +1 CON,,,,3,No,Balanced,No change needed
Combat Efficiency,Discipline,Major Node,"Damage Amplifier, Passive Modifier, Resource Effect","Passive: +6 STR +4 DEX, Weapon damage 1.10x, weapon stamina cost -8%","Burst Damage, Resource Economy",8,+6 STR +4 DEX,1.10x Weapon damage,,,4,No,Balanced,Specified stamina cost reduction
Weapon Virtuoso,Discipline,Tier 4,"Passive Modifier, Defensive Effect","Passive: +4 DEX +3 DEF, Weapon recovery speed +12%, parry window +0.1s","Survivability, Tempo Control",7,+4 DEX +3 DEF,,,,4,No,Balanced,No change needed
Berserker Rhythm,Discipline,Tier 4,"Conditional Buff, Passive Modifier, Proc Trigger","Passive: +4 STR +2 SPD, Attack speed +5% per consecutive hit (max +15% at 3 hits, resets on miss or 2s gap)","Burst Damage, Tempo Control",7,+4 STR +2 SPD,,,,4,No,Balanced,Added reset conditions
Weapon Mastery,Discipline,Major Node,"Damage Amplifier, Passive Modifier","Passive: +6 STR +4 DEX, Weapon damage scaling +15%","Burst Damage, Tempo Control",12,+6 STR +4 DEX,+15% Weapon scaling,,,5,No,Balanced,CRITICAL FIX: Specified scaling bonus (was vague); contributes to 1.50x global cap
Endless Momentum,Discipline,Tier 5,"Passive Modifier, Proc Trigger, Resource Effect","Passive: +5 DEX +4 CON, Consecutive hits reduce stamina cost by 3% per hit (max -15% at 5 hits, decays 1 stack/s out of combat)","Resource Economy, Sustain",11,+5 DEX +4 CON,,,,5,No,Balanced,Added out-of-combat decay
Perfect Execution,Discipline,Tier 5,"Conditional Buff, Damage Amplifier","Passive: +6 STR +4 DEX, Heavy attacks vs stunned/staggered enemies deal +20% damage (reduced from 25%)","Burst Damage, Tempo Control",11,+6 STR +4 DEX,,,,5,No,Balanced,Reduced from +25% to +20% to prevent excessive burst
Arcane Studies,Intellect,Tier 1,Passive Modifier,Passive: +2 ARC,"Burst Damage, Resource Economy",2,+2 ARC,,,,1,No,Balanced,No change needed
Mystic Wards,Intellect,Tier 1,Passive Modifier,Passive: +2 MR,"Resource Economy, Survivability",2,+2 MR,,,,1,No,Balanced,No change needed
Balanced Attunement,Intellect,Tier 1,Passive Modifier,Passive: +1 ARC +1 MR,"Burst Damage, Resource Economy",2,+1 ARC +1 MR,,,,1,No,Balanced,No change needed
Spell Power,Intellect,Tier 2,"Damage Amplifier, Passive Modifier","Passive: +2 ARC +1 MR, +5% spell damage",Burst Damage,3,+2 ARC +1 MR,,,,2,No,Balanced,No change needed
Mana Efficiency,Intellect,Tier 2,"Passive Modifier, Resource Effect","Passive: +2 MR +1 ARC, Spell costs -5% mana",Resource Economy,3,+2 MR +1 ARC,,,,2,No,Balanced,No change needed
Battle Caster,Intellect,Tier 2,"Passive Modifier, Tempo Control","Passive: +1 ARC +1 DEX +1 MR, Cast speed +5%","Burst Damage, Tempo Control",3,+1 ARC +1 DEX +1 MR,,,,2,No,Balanced,No change needed
Arcane Burst,Intellect,Tier 3,"Conditional Buff, Damage Amplifier","Passive: +2 ARC +1 SPD, Spells cast while moving deal +8% damage","Burst Damage, Mobility",4,+2 ARC +1 SPD,,,,3,No,Balanced,No change needed
Spell Resilience,Intellect,Tier 3,"Passive Modifier, Proc Trigger, Resource Effect","Passive: +2 MR +1 CON, Taking damage restores 3% max mana (4s internal cooldown)","Resource Economy, Survivability",4,+2 MR +1 CON,,,4,3,No,Balanced,Made ICD explicit
Focused Casting,Intellect,Tier 3,"Conditional Buff, Damage Amplifier, Proc Trigger","Passive: +3 ARC +1 DEX, Consecutive spells on same target increase damage by 4% (stacks 3x = 12% max, resets on target switch)","Burst Damage, Tempo Control",4,+3 ARC +1 DEX,,,,3,No,Balanced,Added max stacks and reset condition
Arcane Feedback,Intellect,Major Node,"Passive Modifier, Proc Trigger, Resource Effect","Passive: +7 ARC +5 MR, Spell damage restores 3% of damage dealt as mana (1s internal cooldown)","Resource Economy",9,+7 ARC +5 MR,,,1,4,No,Balanced,Added ICD and specified mana return
Spell Acceleration,Intellect,Tier 4,"Passive Modifier, Tempo Control","Passive: +4 ARC +3 SPD, Cast speed +12%, spell recovery -10%","Burst Damage, Tempo Control",7,+4 ARC +3 SPD,,,,4,No,Balanced,No change needed
Arcane Fortification,Intellect,Tier 4,"Defensive Effect, Passive Modifier, Resource Effect","Passive: +3 MR +3 CON +2 ARC, Mana shield: 15% of max mana pool acts as damage buffer (regenerates out of combat)","Resource Economy, Survivability",7,+3 MR +3 CON +2 ARC,,,,4,No,Balanced,Added shield regeneration note
Spell Echo,Intellect,Major Node,"Damage Amplifier, Proc Trigger","Passive: +6 ARC +4 MR, 15% chance to echo spell at 60% effectiveness (8s internal cooldown)","Burst Damage, Hybrid Support",11,+6 ARC +4 MR,,8,5,5,No,Balanced,Added ICD and specified echo effectiveness
Arcane Supremacy,Intellect,Tier 5,"Conditional Buff, Damage Amplifier","Passive: +6 ARC +4 MR, Spell damage +15% when mana ≥ 70%","Burst Damage, Resource Economy",11,+6 ARC +4 MR,,,,5,No,Balanced,No change needed
Spellblade Synergy,Intellect,Tier 5,"Activated Ability, Damage Amplifier, Hybrid Support","Active: +5 ARC +4 DEX, Weapon hit after spell empowers next spell by 20%, spell after weapon empowers next weapon by 20% (lasts 10s or until triggered)","Burst Damage, Hybrid Support",11,+5 ARC +4 DEX,,10,,5,No,Balanced,Specified duration/trigger consumption
Divine Favor,Zeal,Tier 1,Passive Modifier,Passive: +2 FTH,"Burst Damage, Sustain",2,+2 FTH,,,,1,No,Balanced,No change needed
Sacred Endurance,Zeal,Tier 1,Passive Modifier,Passive: +2 CON,"Survivability, Sustain",2,+2 CON,,,,1,No,Balanced,No change needed
Holy Balance,Zeal,Tier 1,Passive Modifier,Passive: +1 FTH +1 CON,"Survivability, Sustain",2,+1 FTH +1 CON,,,,1,No,Balanced,No change needed
Radiant Power,Zeal,Tier 2,"Damage Amplifier, Passive Modifier","Passive: +2 FTH +1 STR, Divine damage +5%",Burst Damage,3,+2 FTH +1 STR,,,,2,No,Balanced,No change needed
Sacred Vitality,Zeal,Tier 2,"Passive Modifier, Resource Effect","Passive: +2 CON +1 FTH, Healing received +8%","Survivability, Sustain",3,+2 CON +1 FTH,,,,2,No,Balanced,No change needed
Faithful Defense,Zeal,Tier 2,"Defensive Effect, Passive Modifier","Passive: +1 FTH +1 MR +1 CON, Debuff resistance +5%",Survivability,3,+1 FTH +1 MR +1 CON,,,,2,No,Balanced,No change needed
Holy Fury,Zeal,Tier 3,"Damage Amplifier, Passive Modifier, Resource Effect","Passive: +2 FTH +1 STR, Dealing damage heals 2% of damage dealt (max 30 HP/s)","Burst Damage, Sustain",4,+2 FTH +1 STR,,,,3,No,Balanced,CRITICAL FIX: Added hard cap (30 HP/s) to prevent sustain loops
Blessed Resilience,Zeal,Tier 3,"Conditional Buff, Defensive Effect, Proc Trigger","Passive: +2 CON +1 MR, Heal effects grant +5% mitigation for 3s (does not stack)","Survivability, Sustain",4,+2 CON +1 MR,,3,,3,No,Balanced,Added no-stacking clause
Divine Fervor,Zeal,Tier 3,"Conditional Buff, Damage Amplifier, Proc Trigger","Passive: +3 FTH +1 DEX, Healing yourself grants +8% damage for 4s (does not stack, refreshes)","Burst Damage, Sustain",4,+3 FTH +1 DEX,,4,,3,No,Balanced,Added no-stacking clause
Sacred Retaliation,Zeal,Major Node,"Defensive Effect, Passive Modifier, Proc Trigger","Passive: +5 FTH +4 CON, Reflect 10% post-mitigation damage (5s internal cooldown)","Survivability, Sustain",10,+5 FTH +4 CON,,5,4,4,No,Balanced,Added stats and ICD
Righteous Assault,Zeal,Tier 4,"Conditional Buff, Damage Amplifier","Passive: +4 FTH +3 STR, Damage +10% when HP > 80%",Burst Damage,7,+4 FTH +3 STR,,,,4,No,Balanced,No change needed
Sanctified Body,Zeal,Tier 4,"Passive Modifier, Resource Effect","Passive: +3 CON +3 FTH +2 MR, Overheal persists as temporary HP up to 12% max HP (reduced from 15%)","Survivability, Sustain",7,+3 CON +3 FTH +2 MR,,,,4,No,Balanced,Reduced overheal cap to prevent effective health stacking with Valor
Divine Resilience,Zeal,Major Node,"Defensive Effect, Passive Modifier","Passive: +6 FTH +5 CON, Debuff durations -20%, stagger resistance +25%","Survivability, Sustain",8,+6 FTH +5 CON,,,,5,No,Balanced,Increased debuff reduction and stagger resistance
Radiant Surge,Zeal,Tier 5,"Activated Ability, Damage Amplifier, Resource Effect","Active: +5 FTH +4 CON, Heal 12% max HP and gain +18% damage for 5s (reduced heal/damage/duration from 15%/20%/6s)","Burst Damage, Sustain",11,+5 FTH +4 CON,,5,30,5,No,Balanced,Reduced values to prevent healing loop abuse
Holy Conviction,Zeal,Tier 5,"Conditional Buff, Damage Amplifier, Passive Modifier","Passive: +5 FTH +3 STR +2 DEX, While HP ≥ 70% gain +10% healing power and +8% damage (reduced from 12%/10%)","Burst Damage, Sustain",11,+5 FTH +3 STR +2 DEX,,,,5,No,Balanced,Reduced healing power and damage to prevent high-HP dominance
Raw Power,Ferocity,Tier 1,Passive Modifier,Passive: +2 STR,Burst Damage,2,+2 STR,,,,1,No,Balanced,No change needed
Aggressive Pursuit,Ferocity,Tier 1,Passive Modifier,Passive: +2 SPD,"Burst Damage, Mobility",2,+2 SPD,,,,1,No,Balanced,No change needed
Relentless Drive,Ferocity,Tier 1,Passive Modifier,Passive: +1 STR +1 SPD,"Burst Damage, Mobility",2,+1 STR +1 SPD,,,,1,No,Balanced,No change needed
Savage Strength,Ferocity,Tier 2,"Conditional Buff, Damage Amplifier","Passive: +2 STR +1 CON, +5% damage vs targets below 50% HP",Burst Damage,3,+2 STR +1 CON,,,,2,No,Balanced,No change needed
Hunter's Speed,Ferocity,Tier 2,"Conditional Buff, Mobility Effect","Passive: +2 SPD +1 STR, +8% movement speed toward wounded enemies (below 70% HP)","Burst Damage, Mobility",3,+2 SPD +1 STR,,,,2,No,Balanced,Specified HP threshold
Brutal Momentum,Ferocity,Tier 2,"Conditional Buff, Damage Amplifier, Proc Trigger","Passive: +1 STR +1 SPD +1 DEF, Consecutive attacks increase damage by 3% (stacks 3x = 9% max, resets on miss or 2s gap)","Burst Damage, Tempo Control",3,+1 STR +1 SPD +1 DEF,,,,2,No,Balanced,Added reset conditions
Blood Frenzy,Ferocity,Tier 3,"Conditional Buff, Passive Modifier, Proc Trigger","Passive: +2 STR +1 SPD, Dealing damage grants +2% attack speed for 3s (stacks 5x = 10% max, decays 1 stack/s out of combat)","Burst Damage, Tempo Control",4,+2 STR +1 SPD,,3,,3,No,Balanced,Reduced duration (4s→3s) and added out-of-combat decay
